date,agency,recipient,value,savings,link,description
3/23/2025,Department of Health and Human Services,"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",4483798,2299168,,RMI ELC Progrm
3/24/2025,Department of Health and Human Services,DC DEPARTMENT OF HEALTH CARE FINANCE,83420625,2272087.15,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,"HEALTH, PENNSYLVANIA DEPARTMENT OF",10551091,2267585.79,,Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,NY ST DEPT OF HEALTH,3461531,2261531,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,HAWAII DEPARTMENT OF HEALTH,2750000,2255205,,"Hawaii's Epidemiology and Laboratory Capacity for Infectious Diseases (ELC), Enhancing Epidemiology, Laboratory, and Health Information Systems Capacity"
3/23/2025,Department of Health and Human Services,SOCIAL SERVICES SOUTH DAKOTA DEPARTMENT,4890725,2250434,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,WY ST DEPARTMENT OF HEALTH,2966362,2250225,,Wyoming 2022-2023 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases
3/23/2025,Department of Health and Human Services,WI ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,2777620,2248446,,Wisconsin's Application for the 2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC) Cooperative Agreement
3/24/2025,Department of Health and Human Services,"Health, New Jersey Department Of",9000000,2227940.72,,Community Health Workers for COVID Response and Resilient Communities (CCR)
3/23/2025,Department of Health and Human Services,OK ST DEPARTMENT OF HEALTH,2617988,2220487,,CK19-1904 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)
3/24/2025,Department of Health and Human Services,Hawaii Department Of Health,6869565,2213046.15,,Community Health Workers for COVID Response and Resilient Communities (CCR)
3/23/2025,Department of Health and Human Services,TN ST DEPARTMENT OF HEALTH,35173225,2204641,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,Michigan Department Of Health And Human Services,31809443,2200043.49,,"National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities"
3/23/2025,Department of Health and Human Services,UNIVERSITY OF SOUTH FLORIDA,2290000,2198175,,Strengthening Healthcare Infection Prevention and Control and Improving Patient Safety in the United States - A Pre-Hospital Approach
3/23/2025,Department of Health and Human Services,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",4372007,2186381,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,"NEW YORK, CITY OF",4086486,2182672,,"Epidemiology and Laboratory Capacity for Infectious Diseases (ELC) - Building and Strengthening Epidemiology,Laboratory and Health Information Systems Capacity in State and Local Health Departments"
3/24/2025,Department of Health and Human Services,"Public Health, Massachusetts Department Of",9000000,2174667.52,,Community Health Workers for COVID Response and Resilient Communities (CCR)
3/23/2025,Department of Health and Human Services,OK ST DEPARTMENT OF HEALTH,7693590,2171302,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,35569951,2165554,,"National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities"
3/23/2025,Department of Health and Human Services,Departamento De Salud Oficial,10162773,2158120,,Puerto Rico National Initiative to Address COVID-19 Health Disparities
3/23/2025,Department of Health and Human Services,MS ST DEPARTMENT OF HEALTH,2824320,2156169,,CK19-1904 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)
3/23/2025,Department of Health and Human Services,"Behavioral Health Services North, Inc.",4999480,2151480,,BHSN Crisis Response
3/23/2025,Department of Health and Human Services,NH ST DEPARTMENT OF HEALTH & HUMAN SERVICES,5031475,2150637,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,SD ST DEPARTMENT OF HEALTH,2288000,2147020,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,COUNTY OF LOS ANGELES,20439027,2146735,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,BAYLOR COLLEGE OF MEDICINE,8342191,2140739,,"ABSTRACT This supplement request is for a Phase 3, randomized, observer-blind, placebo-controlled study to evaluate the efficacy, safety and immunogenicity, of a SARS-CoV-2 recombinant spoke protein nanoparticle vaccine (SARS-CoV-2 rS) with Matric-M1TM adjuvant in adult participants over 18 years of age who have no known history of SARS-CoV-2 infection but whose locations or circumstances put them at appreciable risk of acquiring COVID-19 and/or SARS-CoV-2 infection. This request also relates to other COVID 19 activities."
3/24/2025,Department of Health and Human Services,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,2136833,2136833,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,JACKSON COUNTY PUBLIC HEALTH CENTER,4396526,2130384,,Community Health Worker Community Resilience Project
3/23/2025,Department of Health and Human Services,MN ST DEPARTMENT OF HEALTH,4908044,2130355,,2019 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)
3/23/2025,Department of Health and Human Services,UNIVERSITY OF CALIFORNIA,3069950,2128626,,CALIFORNIA NATIONAL PRIMATE RESEARCH CENTER
3/24/2025,Department of Health and Human Services,NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,9949639,2126989.64,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,WEST VIRGINIA DEPARTMENT OF HEALTH,7778761,2125694,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,SD ST DEPARTMENT OF HEALTH,3004486,2125513,,"Epidemiology and Laboratory Capacity for Infectious Diseases (ELC) - Building and Strengthening Epidemiology,Laboratory and Health Information Systems Capacity in State and Local Health Departments"
3/24/2025,Department of Health and Human Services,MA ST DEPARTMENT OF PUBLIC HEALTH,49504101,2113036.51,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,"Acenda, Inc.",4000000,2111247,,Acenda CMHC Service Expansion
3/21/2025,Department of Health and Human Services,ROSWELL PARK CANCER INSTITUTE CORP,5500829.63,2093741.69,https://usaspending.gov/award/ASST_NON_P30CA016056_7529,Two-Spirit Films in Indigenous Cancer Health
3/23/2025,Department of Health and Human Services,BRIGHAM & WOMEN`S HOSPITAL,3672336,2093082,,"COVID-19 is a US and global disaster which has led to the deaths of almost a million individuals, including over 203,000 Americans, thus far. COVID-19 is caused by a novel beta-coronavirus (CoV) known as Severe Acute Respiratory Syndrome (SARS)-CoV-2, which was reported to cause severe pneumonia and lethal respiratory failure. Little is known about the disease mechanism of this virus and its disease mechanism. In this application, we propose to test the effects of SARS-CoV-2 on the brain. We will develop multiple cell-type specific mouse models that express the SARS-CoV-2 receptor, human ACE2, in a cell-type specific manner. We will then use a variety of molecular, biochemical, histological and neuroscience approaches to test the brain tropism of SARS-CoV-2 in depth and the effects of that on the central regulation of respiration. This proposal will have a transformative impact on our current understanding of COVID- 19 and its mechanisms of pathogenesis and will uncover important therapeutic targets."
3/23/2025,Department of Health and Human Services,DISTRICT COLUMBIA GOVERNMENT,6530972,2084738,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,FL ST DEPT OF HLTH,8792153,2081053,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,IL  ST  DEPT OF PUBLIC HEALTH,2771270,2080642,,CK19-1904 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)
3/24/2025,Department of Health and Human Services,Washington State Department of Health,3314120,2079875.98,,Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,DC DEPARTMENT OF HEALTH CARE FINANCE,7551173,2071288.43,,Immunization and Vaccines for Children
3/21/2025,Department of Health and Human Services,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,12790189,2063714.42,https://usaspending.gov/award/ASST_NON_P20GM135007_7529,Cardiovascular Health and Inflammation: Intersectional Impact of Structural Racism Structural Sexism and Structural Classism
3/23/2025,Department of Health and Human Services,GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,6590558,2056739,,Guam's Initiative to Address COVID-19 Health Disparities
3/23/2025,Department of Health and Human Services,"HEALTH AND HUMAN SERVICES, NEW HAMPSHIRE DEPT OF",2651406,2048312,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,28475336,2035867,,Cancer Center Support Grant
3/23/2025,Department of Health and Human Services,NYS Office of Alcoholism and Substance Abuse Services,2783125,2034275,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/15/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,4593505,2033712,,NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP)
3/23/2025,Department of Health and Human Services,Health Security Partners,4234371,2029581,,"HSP Global Program to Prevent, Detect, and Respond to Infectious Disease Threats in Healthcare, including Antimicrobial Resistance (AMR), Healthcare-associated Infections (HAIs), and COVID-19"
3/23/2025,Department of Health and Human Services,"HEALTH RESEARCH, INC.",5340214,2028535,,EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES IN NEW YORK STATE
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,3168286,2013341,,Strengthening Healthcare and Research Engagement through Data Sharing: SHARE
3/14/2025,Department of Health and Human Services,UNIVERSITY OF CENTRAL FLORIDA,2280000,2010919.06,https://usaspending.gov/award/ASST_NON_DP2DA058436_7529,ENTRUST - economic navigation and strengthening to realize unrestricted services for transgender women
3/23/2025,Department of Health and Human Services,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2314456,2002048,,"STRENGTHENING THE ISMMS RESEARCH AND RESPONSE CAPABILITIES FOR PATHOGENS OF PANDEMIC POTENTIAL - THE ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI (ISMMS) IS AN INTERNATIONAL LEADER IN MEDICAL AND SCIENTIFIC TRAINING, BIOMEDICAL RESEARCH, AND PATIENT CARE. THE ISMMS IS THE MEDICAL SCHOOL FOR THE MOUNT SINAI HEALTH SYSTEM (MSHS), WHICH INCLUDES EIGHT HOSPITAL CAMPUSES WITHIN THE NEW YORK CITY METROPOLITAN AREA THAT IS A MAJOR FOCAL POINT OF INTERNATIONAL TRAVEL. THE MSHS LEVERAGED ITS LARGE METROPOLITAN FOOTPRINT BY ESTABLISHING PATHOGEN DISCOVERY AND PANDEMIC SURVEILLANCE ACTIVITIES. THE DEPARTMENT OF MICROBIOLOGY MAINTAINS ROBUST RESEARCH PROGRAMS THAT ARE FOCUSED ON INVESTIGATING THE BIOLOGY OF NEW AND EMERGING RNA VIRUSES WITH PANDEMIC POTENTIAL AND DEVELOPING NOVEL MEDICAL COUNTERMEASURES AGAINST THESE RNA THAT ARE FOCUS OF THE NIH ANTIVIRAL PROGRAM FOR PANDEMICS (APP). THESE RESEARCH PROGRAMS INCLUDE PANDEMIC PREPAREDNESS EFFORTS FOCUSED SEVEN RNA VIRUS FAMILIES OR ORDERS OF GREATEST PANDEMIC CONCERN, I.E., BUNYAVIRALES, CORONAVIRIDAE, FILOVIRIDAE, FLAVIVIRIDAE, PARAMYXOVIRIDAE, PICORNAVIRIDAE, AND TOGAVIRIDAE. SINCE 2017, FACULTY MEMBERS OF THE DEPARTMENT OF MICROBIOLOGY HAVE CO-AUTHORED OVER 250 PEER-REVIEWED PUBLICATIONS ON THESE VIRAL PATHOGENS OF PUBLIC HEALTH CONCERN. THE DEPARTMENT OF MICROBIOLOGY IS INTERNATIONALLY RECOGNIZED FOR ITS INFLUENZA RESEARCH PROGRAMS, INCLUDING INVESTIGATION OF HIGHLY PATHOGENIC INFLUENZA VIRUSES THAT REQUIRE ENHANCED BIOCONTAINMENT FACILITIES AND SAFETY PROTOCOLS. THE BSL-3/ABSL-3 BIOCONTAINMENT FACILITIES ARE ESSENTIAL SHARED RESOURCES THAT ENSURE BIOSAFETY AND BIOSECURITY OF RNA VIRUSES OF SIGNIFICANT PUBLIC HEALTH CONCERN AND TO SAFELY CONDUCT RESEARCH INVESTIGATING THE BIOLOGY OF VIRAL PATHOGENS WITH PANDEMIC POTENTIAL. OUR APPLICATION IS FOCUSED ON INFRASTRUCTURE IMPROVEMENTS TO MODERNIZE THREE BIOCONTAINMENT FACILITIES TO IMPROVE BIOSAFETY, IMPROVE EFFICIENCY OF OPERATIONS, AND EXPAND RESEARCH CAPABILITIES. THE FIRST AIM OF THE INFRASTRUCTURE IMPROVEMENTS FOCUS ON UPGRADES OF THE HVAC, AUTOCLAVES, BIOLOGICAL SAFETY CABINETS, AND VENTILATED ANIMAL CAGING SYSTEMS TO MODERNIZE AND IMPROVE THE EFFICIENCY OF OPERATIONS OF THE BIOCONTAINMENT FACILITIES. THE SECOND AIM OF THE INFRASTRUCTURE IMPROVEMENTS TO IMPROVE BIOCONTAINMENT RESEARCH WORKFLOW ON PATHOGENS WITH PANDEMIC POTENTIAL FOCUS, INCLUDING BIOTEK MULTIMODE MICROPLATE READERS, IMAGING STATIONS, AND A LUMINEX PLATFORM FOR MULTIPLEX IMMUNOASSAYS."
3/23/2025,Department of Health and Human Services,PA ST Department of Drug and Alcohol Programs,55395098,1990389,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS",6015134,1987611,,"METABOLIC AND EPIGENETIC REPROGRAMMING OF VITAL ORGANS IN SARS-COV-2 INDUCED SYSTEMIC TOXICITY - PROJECT SUMMARY/ABSTRACT SARS-COV-2 PRIMARILY AFFECTS THE RESPIRATORY SYSTEM BUT EXTRA-PULMONARY MANIFESTATIONS IN INDIVIDUALS WITH COVID-19 ARE COMMONLY SEEN. ALL MAJOR ORGAN SYSTEMS HAVE BEEN REPORTED TO BE AFFECTED BY SARS-COV-2 AND COMPLICATIONS ARISING FROM ENSUING ORGAN DYSFUNCTION SIGNIFICANTLY INCREASE THE MORTALITY RATE OF COVID-19. YET, DESPITE THE CLINICAL IMPORTANCE OF SYSTEMIC INVOLVEMENT OF SARS-COV-2, LITTLE IS KNOWN ABOUT THE PATHOGENESIS OF EXTRA-PULMONARY COMPLICATIONS OF COVID-19. HERE, WE CREATE A MURINE MODEL OF SARS-COV-2 INDUCED SEVERE SYSTEMIC TOXICITY AND MULTI-ORGAN INVOLVEMENT AND INVESTIGATE THE ROLE OF METABOLIC AND EPIGENETIC REPROGRAMMING OF VITAL ORGANS IN THE PATHOGENESIS OF SYSTEMIC TOXICITY OF COVID-19. WE DEMONSTRATE THAT FOLLOWING A ROBUST ANTI-VIRAL IMMUNE RESPONSE, THERE IS METABOLIC SUPPRESSION OF OXIDATIVE PHOSPHORYLATION AND THE TRI-CARBOXYLIC ACID (TCA) CYCLE IN MULTIPLE ORGANS. THE ANIMALS DEVELOP A PROFOUND PHENOTYPE WITHIN 7 DAYS OF SARS-COV-2 INFECTION WITH SEVERE WEIGHT LOSS, MORBIDITY AND FAILURE TO THRIVE. EXAMINATION OF MULTIPLE INTERNAL ORGAN SYSTEMS DEMONSTRATED NEUTROPHILIA, LYMPHOPENIA, SPLENIC ATROPHY, WITH CARDIOMYOCYTE CELL DEATH, MYOCARDIAL EDEMA AND EXTREME MYOFIBRILLAR DISARRAY OBSERVED IN THE HEART AND MIRRORING REPORTED HUMAN CLINICAL PHENOTYPES IN COVID-19. AN ORGAN WIDE METABOLIC REPROGRAMMING CONSISTENT WITH DEPRESSION OF OXIDATIVE PHOSPHORYLATION LEADS TO UTILIZATION OF PERIPHERAL FAT STORES AND GROSS ACCUMULATION OF FAT IN THE HEART, KIDNEY, LIVER AND OTHER VITAL ORGANS. WE PERFORM METABOLOMIC PROFILING OF PERIPHERAL BLOOD AND IDENTIFY A PANEL OF TCA CYCLE METABOLITES THAT SERVE AS BIOMARKERS OF DEPRESSED OXIDATIVE PHOSPHORYLATION, SEVERAL OF THESE MARKERS BEEN NOTED IN HUMAN CLINICAL STUDIES TO BE ASSOCIATED WITH ADVERSE PROGNOSIS. FINALLY, WE DEMONSTRATE THAT DESPITE THE ABSENCE OF VIRAL GENOMES IN TISSUES, TRANSCRIPTIONAL CHANGES PERSIST AND ARE ASSOCIATED WITH SIGNIFICANT DIFFERENTIALLY METHYLATED REGIONS IN VITAL ORGANS ACROSS THE HOST CELL GENOMES. CONSIDERING THESE OBSERVATIONS, WE DISSECT THE MECHANISTIC BASIS OF SUCH METABOLIC REPROGRAMMING IN SARS-COV-2. WE HAVE CREATED A MULTI-DISCIPLINARY TEAM COMPRISING, METABOLOMICS EXPERTS, VIROLOGISTS, PHYSIOLOGISTS AND GENETICISTS TO STUDY METABOLIC FLUXES AND ORGAN WIDE TRANSCRIPTOMICS TO STUDY IN THE DEPTH THE ROLE OF METABOLIC AND EPIGENETIC REPROGRAMMING IN CAUSING SARS-COV-2 INDUCED SEVERE SYSTEMIC TOXICITY."
3/23/2025,Department of Health and Human Services,STATE OF OHIO - DEPARTMENT OF HEALTH,2692030,1982479,,CK19-1904 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)
3/24/2025,Department of Health and Human Services,HI ST DEPARTMENT OF HEALTH,5324007,1982403.87,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,AL ST DEPARTMENT OF PUBLIC HEALTH,31670677,1980614,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,DIVISION OF CHILD AND FAMILY SERVICES,3320098,1959722.81,,Immunization and Vaccines for Children
3/21/2025,Department of Health and Human Services,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",3432146,1955110.04,https://usaspending.gov/award/ASST_NON_R56AG079510_7529,Asian Americans & Racism: Individual and Structural Experiences (ARISE)
3/23/2025,Department of Health and Human Services,ND ST DEPT OF HUMAN SVCS,2478813,1934756,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,UNIVERSITY OF WASHINGTON,1930000,1930000,,Strengthening Public Health Systems and Services through National Partnerships to Improve and Protect the Nation's Health
3/21/2025,Department of Health and Human Services,FLORIDA INTERNATIONAL UNIVERSITY,12195804,1926638.01,https://usaspending.gov/award/ASST_NON_U54MD012393_7529,The FIU Research Center in a Minority Institution (FIU-RCMI)
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,15867870,1924790.55,,Alzheimers Disease Research Center
3/21/2025,Department of Health and Human Services,UNIVERSITY OF HAWAII AT MANOA,14337263,1917214.8,https://usaspending.gov/award/ASST_NON_U54MD007601_7529,Evaluating HPV Vaccination Uptake Barriers and its Efficacy in PLWH
3/24/2025,Department of Health and Human Services,State Of Rhode Island Department Of Health,19682213,1916595.65,,"National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities"
3/23/2025,Department of Health and Human Services,Commonwealth Healthcare Corporation,2899860,1910269,,Epidemiology and Laboratory Capacity
3/24/2025,Department of Health and Human Services,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,2044272,1899717.89,,Immunization and Vaccines for Children
3/21/2025,Department of Health and Human Services,MEHARRY MEDICAL COLLEGE,2000000,1890539.74,https://usaspending.gov/award/ASST_NON_C06OD034042_7529,Meharry HIV/AIDS Research and Training Facility
3/23/2025,Department of Health and Human Services,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",5479627,1885745,,Nebraska Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,"Health, Washington State Department Of",8000000,1876926.34,,Community Health Workers for COVID Response and Resilient Communities (CCR)- Evaluation and Technical Assistance (ETA); CCR-ETA
3/23/2025,Department of Health and Human Services,VA ST DEPARTMENT OF HEALTH,7712569,1873650,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,YALE UNIVERSITY,5687219,1873602,,"ABSTRACT     Preparing SARS-­CoV-­2 testing data for reuse requires making the data syntactically and semantically equivalent.  Standardization  of  terminologies  and  a  common  data  model  accomplish  the  former,  while  the  latter  is  accomplished  through  understanding  the  data  and  making  it  comparable  across  RADx-­rad  awardees  by  benchmarking against known gold standards. The standardization of samples is as important as standardizing  the data, particularly in the highly innovative RADx-­rad program, where new technologies will be developed or  optimized for deployment in various settings. Highly motivated RADx-­rad awardees will receive advice on how  their diagnostics compare to FDA-­approved ones, with each other, how their diagnostic performs in independent  testing,  as  well as how  to ensure  the  tests  are usable  in  real  world  settings.  In  collaboration  with  University  of  Texas  Health  Science  Center  at  Houston,  University  of  California San  Diego  researchers  in  informatics/data  science and infectious diseases with ample experience in leading large consortia have designed a unique RADx-­ rad  Consortium  Data  and  Coordination  Center  (radCDCC).  This  center  is  based  on  three  pillars:  (1)  effective  administration and coordination among awardees, NIH, and other programs;; (2) innovative approaches and tools  to  collect  and  standardize  data  and  metadata  to  promote  findability,  accessibility,  interoperability  and  reuse  (FAIR)  for  data  sharing;;  and  (3)  principled  preparation  of  standardized  samples  with  known  quantities  of  viral  loads, and standardized procedures for testing new diagnostics to allow comparison across tests and calibration  of  new  technologies.  Backed  by  sophisticated  HIPAA-­compliant  cloud  services,  user  friendly  web-­tools,  and  extensive  support  from  UCSD’s  facilities  for  computation and  for  clinical  research,  the  radCDCC will  interface  with other RADx programs and other COVID-­19 focused programs at NIH to ensure alignment of awardees, NIH  and the public in the pursuit of effective, affordable, and deployable new technologies for testing.  "
3/23/2025,Department of Health and Human Services,INDIANA STATE DEPARTMENT OF HEALTH,3396360,1868495,,CK19-1904 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)
3/23/2025,Department of Health and Human Services,"PUERTO RICO SCIENCE, TECHNOLOGY, & RESEARCH TRUST",8999162,1865565,,"Training, deploying and engaging Community Health Workers to improve COVID-19 and Chronic Disease management response in Puerto Rico"
3/23/2025,Department of Health and Human Services,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,52538794,1858402,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,SHELBY COUNTY GOVERNMENT,6591619,1858385,,Shelby County Initiative to Address COVID-19 Health Disparities in Communities that are at High-Risk and Underserved
3/24/2025,Department of Health and Human Services,Arizona Health Care Cost Containment System,6000000,1852862.2,,Community Health Workers for COVID Response and Resilient Communities (CCR)
3/23/2025,Department of Health and Human Services,DC DEPARTMENT OF HEALTH CARE FINANCE,3298206,1842686,,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC).
3/23/2025,Department of Health and Human Services,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,87419266,1828600,,"Utah's proposal for activities within ELC Supplemental funds round 2 (AMD 2, NWSS 2)"
3/23/2025,Department of Health and Human Services,AL ST DEPARTMENT OF PUBLIC HEALTH,3681270,1822531,,CK19-1904 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)
3/24/2025,Department of Health and Human Services,"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",1821313,1821313,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/24/2025,Department of Health and Human Services,State Of Wisconsin Department Of Health Services,9000000,1815116.08,,Community Health Workers for COVID Response and Resilient Communities (CCR)
3/23/2025,Department of Health and Human Services,STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,1810816,1810816,,CDC-RFA-IP19-1901 Immunization and Vaccines for Children
3/24/2025,Department of Health and Human Services,"HEALTH, PENNSYLVANIA DEPARTMENT OF",2564142,1803780.07,,Immunization and Vaccines for Children
3/23/2025,Department of Health and Human Services,GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,2321414,1798289,,Epidemiology and Laboratory Capacity for Infectious Disease on Guam
3/24/2025,Department of Health and Human Services,"Health, Washington State Department Of",16250000,1795016.81,,Community Health Workers for COVID Response and Resilient Communities (CCR)
3/21/2025,Department of Health and Human Services,UNIVERSITY OF MICHIGAN AT ANN ARBOR,2051864,1792121.04,https://usaspending.gov/award/ASST_NON_R01AG082080_7529,Improving Inclusivity of Alzheimers Disease and Related Dementias Research for Asian Americans and Latinx through Nationally Representative Hybrid Sampling.
3/23/2025,Department of Health and Human Services,MN ST DEPARTMENT OF HUMAN SERVICES,22591036,1790134,,SUBSTANCE ABUSE PREVENTION & TREATMENT BLOCK GRANT
3/23/2025,Department of Health and Human Services,ME DEPT OF BEHAVIORAL & DEVELOPMENTAL SERVICES,5599279,1788330,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/23/2025,Department of Health and Human Services,My Health My Resources Of Tarrant County,5000000,1783729,,Tarrant County Community Mental Health Center (CMHC)
3/23/2025,Department of Health and Human Services,National Association of County and City Health Official,7800000,1780000,,Addressing Emerging and Re-Emerging Infectious Disease at the Local Level through Data-Informed Decision-Making and Cross-Sector Partnerships
3/23/2025,Department of Health and Human Services,"Association of Public Health Laboratories, Inc. (THE)",13727215,1777434,,Global Health Security Partnerships: Expanding and Improving Public Health Laboratory Strategies and Systems
3/24/2025,Department of Health and Human Services,DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,5125000,1777366.67,,2019 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC)
3/23/2025,Department of Health and Human Services,AZ ST DEPARTMENT OF HEALTH SERVICES,3713670,1766866,,2019 EPIDEMIOLOGY AN LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)
3/10/2025,Department of Health and Human Services,COLUMBIA UNIVERSITY HEALTH SCIENCES,1968142,1761170,,Anti-semitism task force
3/24/2025,Department of Health and Human Services,Arizona Department Of Health Services,34603661,1759743.96,,"National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities"
3/23/2025,Department of Health and Human Services,MS ST DEPARTMENT OF MENTAL HEALTH,7556583,1754955,,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES
3/24/2025,Department of Health and Human Services,MN ST DEPARTMENT OF HEALTH,5095889,1749395.2,,Immunization and Vaccines for Children
